Год,Месяц,Скорость груженым,"Тонн ГМ на единицу оборудования в год, т",Средний грузооборот на единицу АС,"Средняя загрузка АС, т",Модель оборудования,Имя оборудования,Id Equip
2024,Март 2024,16.19,2318597.74,987518.15,187.5447619047619,KOMATSU 730-E,730E_15,503
2024,Март 2024,16.33,2218505.32,976173.06,185.63645320197045,KOMATSU 730-E,730E_16,504
2024,Март 2024,16.33,2213159.84,990070.93,188.53259779338015,KOMATSU 730-E,730E_17,505
2024,Март 2024,16.26,2070468.39,995669.96,188.67811158798284,KOMATSU 730-E,730E_18,506
2024,Март 2024,17.04,2233246.61,1038768.28,188.16765873015873,KOMATSU 730-E,730E_19,507
2024,Март 2024,15.83,1979336.13,874721.45,187.20267260579064,KOMATSU 730-E,730E_20,508
2024,Март 2024,16.03,2171161.29,958130.15,186.26262626262627,KOMATSU 730-E,730E_21,509
2024,Март 2024,16.85,2098373.23,992052.42,184.6818652849741,KOMATSU 730-E,730E_22,510
2024,Март 2024,15.57,2038784.03,971386.32,184.99679487179486,KOMATSU 730-E,730E_23,511
2024,Март 2024,16.21,2298993.71,992234.63,187.02777777777777,KOMATSU 730-E,730E_24,512
2024,Март 2024,16.51,2062367.74,988134.01,186.1424017003188,KOMATSU 730-E,730E_25,513
2024,Март 2024,15.59,2213159.84,961643.72,187.59181636726547,KOMATSU 730-E,730E_26,514
2024,Март 2024,15.59,2179473.87,951421.56,184.73652694610777,KOMATSU 730-E,730E_27,515
2024,Март 2024,15.75,2226982.74,980421.55,185.43235294117648,KOMATSU 730-E,730E_28,516
2024,Март 2024,16.29,2267956.94,970941.37,188.65915768854066,KOMATSU 730-E,730E_29,517
2024,Март 2024,16.51,2173869.35,955155.66,178.73184898354307,KOMATSU 730-E,730E_37,864
2024,Март 2024,16.74,2318362.26,1034542.49,193.8011811023622,KOMATSU 730-E,730E_38,865
2024,Март 2024,17.61,2265166.45,986585.75,180.13483146067415,KOMATSU 730-E,730E_39,866
2024,Март 2024,16.47,2283581.29,967807.19,189.03313840155946,KOMATSU 730-E,730E_40,867
2024,Март 2024,16.73,846976.61,501676.61,189.80211081794195,KOMATSU 730-E,730E_41,868
2024,Март 2024,14.89,1974328.8,910395.58,185.90101995565414,NHL NTE200,NHL NTE200_43,1415
2024,Март 2024,15.3,1860448.8,944702.91,185.89496470588236,NHL NTE200,NHL NTE200_44,1416
2024,Март 2024,15.32,1812268.8,944548.15,185.89204353083437,NHL NTE200,NHL NTE200_45,1417
2024,Март 2024,14.59,1843629.6,875424.88,185.96465558194774,NHL NTE200,NHL NTE200_46,1418
2024,Март 2024,14.62,2055358.8,909633.59,185.90492012779555,NHL NTE200,NHL NTE200_47,1419
2024,Март 2024,15.23,1928251.2,946909.21,185.8902156640182,NHL NTE200,NHL NTE200_48,1420
2024,Март 2024,,758860.47,345110.87,186,NHL NTE200,NHL NTE200_49,1445
2024,Март 2024,,435155.84,284812.5,186,NHL NTE200,NHL NTE200_50,1446
2024,Март 2024,,365000,524832.48,,NHL NTE200,NHL NTE200_51,1447
2024,Март 2024,13.65,671360.66,498632.79,186,NHL NTE200,NHL NTE200_52,1448
2024,Март 2024,,346750,473912.5,,NHL NTE200,NHL NTE200_53,1449
2024,Апрель 2024,15.04,2074258.5,887160.82,186.0327868852459,KOMATSU 730-E,730E_13,501
2024,Апрель 2024,15.05,2093080.33,879153.73,188.22100656455143,KOMATSU 730-E,730E_14,502
2024,Апрель 2024,15.09,1945827.17,845387.87,185.31981460023175,KOMATSU 730-E,730E_15,503
2024,Апрель 2024,14.98,1877742.5,903657.98,185.49879807692307,KOMATSU 730-E,730E_16,504
2024,Апрель 2024,15.14,884869.5,839019.2,187.4458762886598,KOMATSU 730-E,730E_17,505
2024,Апрель 2024,14.98,517971.5,829257.77,187.54625550660793,KOMATSU 730-E,730E_18,506
2024,Апрель 2024,16.52,369915.33,893377.89,187.679012345679,KOMATSU 730-E,730E_19,507
2024,Апрель 2024,14.35,2007074.17,838437.49,184.52460850111856,KOMATSU 730-E,730E_20,508
2024,Апрель 2024,14.65,2103397.67,855199.97,184.70299145299145,KOMATSU 730-E,730E_21,509
2024,Апрель 2024,15.42,2076704,861937.72,184.72727272727272,KOMATSU 730-E,730E_22,510
2024,Апрель 2024,14.44,1719588,856820.03,183.0777202072539,KOMATSU 730-E,730E_23,511
2024,Апрель 2024,14.46,1987996.83,841778.29,186.1013667425968,KOMATSU 730-E,730E_24,512
2024,Апрель 2024,15.15,2036481,856609.96,184.74834437086093,KOMATSU 730-E,730E_25,513
2024,Апрель 2024,14.14,1900409,848273.71,188.19036144578314,KOMATSU 730-E,730E_26,514
2024,Апрель 2024,14.09,2044790.83,835605.56,184.8899889988999,KOMATSU 730-E,730E_27,515
2024,Апрель 2024,14.38,1796092,851973.9,185.69056603773586,KOMATSU 730-E,730E_28,516
2024,Апрель 2024,14.92,1944732.17,874134.26,185.86162790697674,KOMATSU 730-E,730E_29,517
2024,Апрель 2024,14.77,1945523,828243.86,176.1079295154185,KOMATSU 730-E,730E_37,864
2024,Апрель 2024,15.51,2206717,903586.91,193.36247334754796,KOMATSU 730-E,730E_38,865
2024,Апрель 2024,15.4,1864371.33,837252.95,176.94688221709006,KOMATSU 730-E,730E_39,866
2024,Апрель 2024,14.81,1860307.67,842410.59,186.01827040194885,KOMATSU 730-E,730E_40,867
2024,Апрель 2024,15.14,2139788.17,870504.08,188.0994652406417,KOMATSU 730-E,730E_41,868
2024,Апрель 2024,14.27,1957495,812180.91,186,NHL NTE200,NHL NTE200_43,1415
2024,Апрель 2024,14.59,1792296,799248.42,186,NHL NTE200,NHL NTE200_44,1416
